match_id,source_file,fecha,campeonato,rival,condicion,resultado,goles_favor,goles_contra,resultado_partido,puntos,tiene_datos_jugadores
match:2024-07-09:visitante:river_plate,2024-07-09_Visitante_River_Plate.json,2024-07-09,Friendlies Clubs,River Plate,Visitante,1 - 1,1,1,D,1,True
match:2024-07-19:visitante:independiente_medellin,2024-07-19_Visitante_Independiente_Medellin.json,2024-07-19,Primera A,Independiente Medellin,Visitante,1 - 1,1,1,D,1,True
match:2024-07-21:local:bucaramanga,2024-07-21_Local_Bucaramanga.json,2024-07-21,Primera A,Bucaramanga,Local,1 - 0,1,0,W,3,True
match:2024-07-25:local:atletico_nacional,2024-07-25_Local_Atletico_Nacional.json,2024-07-25,Primera A,Atletico Nacional,Local,1 - 2,1,2,L,0,True
fixture:1234169,2024-07-28_Visitante_Alianza_Valledupar.json,2024-07-28,Primera A,Alianza Valledupar,Visitante,2 - 1,1,2,L,0,True
match:2024-08-03:local:deportes_tolima,2024-08-03_Local_Deportes_Tolima.json,2024-08-03,Primera A,Deportes Tolima,Local,1 - 0,1,0,W,3,True
fixture:1234208,2024-08-25_Visitante_Águilas_Doradas.json,2024-08-25,Primera A,Águilas Doradas,Visitante,2 - 1,1,2,L,0,True
match:2024-09-01:local:patriotas,2024-09-01_Local_Patriotas.json,2024-09-01,Primera A,Patriotas,Local,3 - 0,3,0,W,3,True
match:2024-09-08:visitante:once_caldas,2024-09-08_Visitante_Once_Caldas.json,2024-09-08,Primera A,Once Caldas,Visitante,1 - 1,1,1,D,1,True
fixture:1234238,2024-09-16_Visitante_Internacional_de_Bogota.json,2024-09-16,Primera A,Internacional de Bogota,Visitante,1 - 3,3,1,W,3,True
match:2024-09-26:local:jaguares,2024-09-26_Local_Jaguares.json,2024-09-26,Primera A,Jaguares,Local,0 - 0,0,0,D,1,True
match:2024-09-29:local:envigado,2024-09-29_Local_Envigado.json,2024-09-29,Primera A,Envigado,Local,3 - 0,3,0,W,3,True
match:2024-10-02:local:bucaramanga,2024-10-02_Local_Bucaramanga.json,2024-10-02,Copa Colombia,Bucaramanga,Local,0 - 0,0,0,D,1,False
match:2024-10-05:visitante:deportivo_cali,2024-10-05_Visitante_Deportivo_Cali.json,2024-10-05,Primera A,Deportivo Cali,Visitante,0 - 1,1,0,W,3,True
match:2024-10-09:visitante:bucaramanga,2024-10-09_Visitante_Bucaramanga.json,2024-10-09,Copa Colombia,Bucaramanga,Visitante,1 - 1,1,1,D,1,False
match:2024-10-12:visitante:america_de_cali,2024-10-12_Visitante_America_de_Cali.json,2024-10-12,Primera A,America de Cali,Visitante,2 - 1,1,2,L,0,True
match:2024-10-17:local:fortaleza_fc,2024-10-17_Local_Fortaleza_FC.json,2024-10-17,Primera A,Fortaleza FC,Local,2 - 1,2,1,W,3,True
match:2024-10-27:visitante:santa_fe,2024-10-27_Visitante_Santa_Fe.json,2024-10-27,Primera A,Santa Fe,Visitante,0 - 1,1,0,W,3,True
match:2024-11-04:local:deportivo_pasto,2024-11-04_Local_Deportivo_Pasto.json,2024-11-04,Primera A,Deportivo Pasto,Local,1 - 0,1,0,W,3,True
match:2024-11-07:visitante:junior,2024-11-07_Visitante_Junior.json,2024-11-07,Primera A,Junior,Visitante,0 - 0,0,0,D,1,True
match:2024-11-11:local:deportivo_pereira,2024-11-11_Local_Deportivo_Pereira.json,2024-11-11,Primera A,Deportivo Pereira,Local,0 - 0,0,0,D,1,True
match:2024-11-15:visitante:chico,2024-11-15_Visitante_Chico.json,2024-11-15,Primera A,Chico,Visitante,1 - 5,5,1,W,3,True
match:2024-11-20:local:deportivo_pasto,2024-11-20_Local_Deportivo_Pasto.json,2024-11-20,Primera A,Deportivo Pasto,Local,2 - 1,2,1,W,3,True
match:2024-11-27:visitante:santa_fe,2024-11-27_Visitante_Santa_Fe.json,2024-11-27,Primera A,Santa Fe,Visitante,0 - 1,1,0,W,3,True
match:2024-11-30:local:atletico_nacional,2024-11-30_Local_Atletico_Nacional.json,2024-11-30,Primera A,Atletico Nacional,Local,2 - 1,2,1,W,3,True
match:2024-12-03:visitante:atletico_nacional,2024-12-03_Visitante_Atletico_Nacional.json,2024-12-03,Primera A,Atletico Nacional,Visitante,1 - 1,1,1,D,1,True
match:2024-12-06:local:santa_fe,2024-12-06_Local_Santa_Fe.json,2024-12-06,Primera A,Santa Fe,Local,1 - 1,1,1,D,1,True
match:2024-12-09:visitante:deportivo_pasto,2024-12-09_Visitante_Deportivo_Pasto.json,2024-12-09,Primera A,Deportivo Pasto,Visitante,0 - 0,0,0,D,1,True
